Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
MILLION DOLLAR BABY,Tommy Richman,Million Dollar Baby - Single,4/26/2024,QM24S2402528,390470936.0,92.0,"30,716",1,725.4,
Not Like Us,Kendrick Lamar,Not Like Us,5/4/2024,USUG12400910,323703884.0,92.0,"28,113",2,545.9,
i like the way you kiss me,Artemas,I like the way you kiss me,3/19/2024,QZJ842400387,601309283.0,92.0,"54,331",3,538.4,
Flowers,Miley Cyrus,Flowers - Single,1/12/2023,USSM12209777,2031280633.0,85.0,"269,802",4,444.9,
Houdini,Eminem,Houdini,5/31/2024,USUG12403398,107034922.0,88.0,"7,223",5,423.3,
Lovin On Me,Jack Harlow,Lovin On Me,11/10/2023,USAT22311371,670665438.0,83.0,"105,892",6,410.1,
Beautiful Things,Benson Boone,Beautiful Things,1/18/2024,USWB12307016,900158751.0,86.0,"73,118",7,407.2,
Gata Only,FloyyMenor,Gata Only,2/2/2024,QZL382406049,675079153.0,92.0,"40,094",8,375.8,
Danza Kuduro - Cover,MUSIC LAB JPN,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,6/9/2024,TCJPA2463708,1653018119.0,,1,9,355.7,
BAND4BAND (feat. Lil Baby),Central Cee,BAND4BAND (feat. Lil Baby),5/23/2024,USSM12404354,90676573.0,86.0,"10,4",10,330.6,
I Had Some Help (feat. Morgan Wallen),Post Malone,I Had Some Help,5/10/2024,USUM72404990,250080413.0,91.0,"16,219",11,322.1,
The Door,Teddy Swims,The Door,6/14/2024,USWB12402486,111155129.0,,2,12,320.2,
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401991,221636195.0,92.0,"13,8",13,316.3,
Like That,Future,WE DON'T TRUST YOU,3/22/2024,USSM12402041,355186436.0,88.0,"43,025",14,308.2,
bathroom floor,Kids With Buns,bathroom floor,10/7/2022,NLC242100307,297185.0,12.0,277,15,301.6,
LALA,Myke Towers,LALA - Single,3/22/2023,USWL12300002,925655569.0,79.0,"103,605",16,299.9,
Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401028,395433400.0,89.0,"12,784",17,297.6,
greedy,Tate McRae,greedy,9/14/2023,USRC12301932,1258569694.0,87.0,"105,218",18,293.7,
BLUE,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401996,91272461.0,86.0,"6,499",19,292.6,
As It Was,Harry Styles,As It Was,3/31/2022,USSM12200612,3301814535.0,87.0,"407,119",20,292.0,
Paint The Town Red,Doja Cat,Paint The Town Red,8/4/2023,USRC12300907,1065399331.0,78.0,"170,89",21,290.5,
Espresso,Sabrina Carpenter,Espresso,4/12/2024,USUM72403305,547882871.0,95.0,"24,425",22,281.5,
Danza Kuduro - Cover,MUSIC LAB JPN,CLUB DE YOKUKIKU YOUGAKU MEDLEY,5/21/2024,TCJPA2445163,1655575417.0,,10,23,279.0,
TEXAS HOLD 'EM,Beyoncï¿,TEXAS HOLD 'EM,2/10/2024,USSM12401302,426700979.0,86.0,"34,044",24,278.9,
Beat Automotivo Tan Tan Tan Viral,WZ Beat,Beat Automotivo Tan Tan Tan Viral,5/24/2022,BXWEH2200054,7382759.0,35.0,"3,504",26,268.1,
STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),7/9/2021,USSM12103949,3107100349.0,78.0,"451,732",27,266.3,
Baby Shark,Pinkfong,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,12/1/2015,KRE671700001,720822868.0,71.0,"60,945",28,265.7,
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,3/8/2024,USUM72317276,591068364.0,87.0,"26,203",29,262.8,
Numb / Encore,JAY-Z,Papercuts,4/12/2024,USWB12400678,1003215671.0,,128,30,256.0,
Danza Kuduro - Cover,LOVE BGM JPN,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,5/14/2024,TCJPA2406007,1645079292.0,,,31,249.8,
SHEESH,BABYMONSTER,BABYMONS7ER,4/1/2024,KRA402400016,124893397.0,82.0,"3,479",32,237.5,
Water,Tyla,Water,7/28/2023,USSM12305126,670376179.0,83.0,"98,45",33,234.6,
Strangers,Kenya Grace,Strangers,9/1/2023,USWB12305048,750154960.0,79.0,"139,141",34,233.5,
Too Sweet,Hozier,Unreal Unearth: Unheard,3/22/2024,USSM12401865,532012790.0,,"23,557",35,231.6,
What's Love Got to Do with It - 2023 Remaster,Tina Turner,What's Love Got to Do with It (30th Anniversary Deluxe Edition),4/26/2024,GBAYE2300351,479417905.0,,7,36,230.0,
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),4/12/2024,USUYG1541249,311928522.0,96.0,"25,766",37,226.4,
Lose Control,Teddy Swims,Lose Control,6/23/2023,USWB12302315,775135157.0,87.0,"88,239",38,224.1,
fukumean,Gunna,fukumean,6/15/2023,USAT22306575,759998727.0,80.0,"188,142",39,221.1,
Dance Monkey,Tones And I,Dance Monkey,5/10/2019,QZES71982312,3071214106.0,71.0,"375,201",40,214.5,
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401994,214237645.0,92.0,"10,871",41,212.8,
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,4/8/2023,KRA252300672,170970614.0,41.0,"27,827",42,211.2,
I'm Good (Blue),David Guetta,I'm Good (Blue),8/26/2022,UKWLG2200055,1658229422.0,83.0,"262,248",43,209.6,
Daylight,David Kushner,Daylight,4/14/2023,QZXDB2300005,1126820069.0,82.0,"177,8",44,207.0,
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,9/15/2023,USJ5G2335007,997702304.0,86.0,"105,927",45,206.2,
Please Please Please,Sabrina Carpenter,Please Please Please,6/6/2024,USUM72404101,59314441.0,83.0,"2,572",46,205.7,
Houdini,Dua Lipa,Houdini - Single,11/9/2023,GBAHT2301246,493627071.0,80.0,"45,3",47,205.1,
